comment_id	user_id	media_id	parent_comment_id	content	timestamp	deleted	tag	upvotes	downvotes	user_vote_type	username	profile_picture_url	is_mod	is_admin	reply_count	total_votes	changes
30694	7285824	112269		i was unknowingly reading a bl manga all this time 😓	2026-01-07T21:48:15.000Z			0	0		yunoyo	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b7285824-OQvGG7cmLAaq.jpg			0	3	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30690	6120929	170894		it's great series. 8/10 overall for me. 	2026-01-07T21:32:17.000Z		81	0	0		SushanLog	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6120929-KKeauXCGNmdy.jpg			0	457	parent_comment_id,deleted,user_vote_type,is_mod,is_admin
30338	7460497	170894		do we have some news about the next season?	2025-12-26T19:26:14.000Z			0	0		Gaur2704	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b7460497-1GMCFGbxHWNT.jpg			0	18	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
26906	6218408	170894		you guys should read this peak	2025-08-14T12:36:56.000Z			1	0		Hanxxx77	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6218408-EYGuEnxs5wY2.jpg			0	17	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
22963	7296756	170894		I am thinking of reading it	2025-04-23T13:08:09.000Z			0	0		esreadwatch	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
21226	7233620	170894		this manhwa is awesome 😍😍😍😍😍😍	2025-03-19T09:53:23.000Z			0	0		Cheronjit	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			0	0	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
19985	6762676	170894		Already finished few days and still peak	2025-02-05T15:40:53.000Z			1	0		TempestASAP	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6762676-HcSk8ce1U3M6.jpg			0	17	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
19982	5936117	170894		Peak is backkkkk 🗣️🗣️🗣️🗣️🔥🔥🔥🔥	2025-02-05T14:27:13.000Z			1	0		ICE2	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5936117-sUBqyh4GpIjo.jpg			0	5	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
553	6041126	170894		I'm reading 	2024-02-19T07:45:51.000Z			1	0		Feenin	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6041126-wGzvE6FkPsJZ.png			1	4	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
534	5790266	170894		new fav manga fr	2024-02-19T04:09:34.000Z			1	0		takarealist112	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5790266-7Nk3qlgwM6gV.jpg	1		0	32	parent_comment_id,deleted,tag,user_vote_type,is_admin
265	5790266	170894		let me know if  anyone reads this	2024-02-16T15:34:56.000Z			1	0		takarealist112	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5790266-7Nk3qlgwM6gV.jpg	1		0	32	parent_comment_id,deleted,tag,user_vote_type,is_admin
12541	726755	178707		Soon they will get married.	2024-06-28T20:37:41.000Z			1	0		Aiscion	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b726755-YS0UEKLaaZuR.jpg			1	6	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30160	5780445	189980		just give me that damn system too ಠ⁠﹏⁠ಠ	2025-12-18T19:14:04.000Z			1	0		1Rayz	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b5780445-YnLYUUQrG7sq.jpg			1	13	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
22835	6155030	189980		"Kinda good... would've been better if there were actual ""scenes*"	2025-04-19T19:18:57.000Z			0	0		KurumiTokisakii	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6155030-DrnWxm7jQCjZ.jpg			1	13	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30661	6907832	187942		I have been waiting for this 🤗	2026-01-07T05:26:16.000Z			1	0		Subaaruu	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6907832-OcSAvb87Hu79.jpg			0	8	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30650	6415908	187942		okayy... this is good.	2026-01-07T00:55:30.000Z			1	0		Fearocanity	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6415908-Bd4DNPf0taaA.jpg			0	214	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
30643	6283259	187942		i read and enjoyed the manga quite a bit a while ago but I never truly managed to imagine their voices... I feel like I'm not ready to hear va for them	2026-01-06T18:33:36.000Z			0	0		OneRandomDude	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png			1	149	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
29045	6220420	187942		let go  Jan 2026 	2025-10-26T03:21:38.000Z			1	0		SamSupernoods	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6220420-zlia11ygcykd.jpg			0	14	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
21177	6415908	187942		okayyy!! some says its good.	2025-03-18T02:34:35.000Z			1	0		Fearocanity	https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6415908-Bd4DNPf0taaA.jpg			0	214	parent_comment_id,deleted,tag,user_vote_type,is_mod,is_admin
